iter	Passed	Remaining
0	137	137100
1	138	69034
2	139	46272
3	139	34837
4	140	28003
5	141	23418
6	142	20188
7	143	17738
8	143	15811
9	144	14296
10	145	13073
11	146	12031
12	146	11151
13	147	10389
14	148	9738
15	149	9166
16	149	8673
17	151	8248
18	152	7849
19	152	7486
20	153	7157
21	154	6861
22	155	6593
23	156	6349
24	156	6115
25	157	5900
26	158	5700
27	158	5515
28	160	5383
29	161	5223
30	162	5071
31	162	4928
32	163	4794
33	164	4671
34	165	4553
35	166	4447
36	166	4344
37	167	4242
38	168	4146
39	168	4055
40	169	3967
41	170	3896
42	171	3824
43	172	3750
44	173	3679
45	173	3608
46	175	3552
47	176	3493
48	177	3436
49	177	3376
50	178	3321
51	179	3267
52	180	3216
53	180	3169
54	181	3122
55	182	3074
56	183	3030
57	183	2985
58	184	2941
59	186	2915
60	186	2878
61	187	2840
62	188	2800
63	189	2765
64	189	2728
65	190	2696
66	191	2664
67	192	2637
68	193	2606
69	194	2578
70	194	2548
71	195	2517
72	196	2491
73	197	2470
74	198	2445
75	199	2420
76	199	2395
77	200	2370
78	201	2346
79	202	2331
80	203	2308
81	204	2286
82	204	2264
83	205	2242
84	206	2217
85	206	2197
86	207	2178
87	208	2160
88	209	2140
89	209	2121
90	210	2103
91	211	2084
92	211	2065
93	212	2049
94	213	2033
95	214	2016
96	214	1999
97	215	1982
98	216	1967
99	216	1951
100	217	1939
101	219	1934
102	220	1920
103	221	1905
104	222	1892
105	223	1881
106	223	1868
107	224	1856
108	225	1843
109	226	1831
110	227	1818
111	227	1805
112	228	1792
113	229	1780
114	229	1768
115	230	1758
116	231	1748
117	232	1737
118	233	1725
119	233	1715
120	234	1704
121	235	1696
122	236	1689
123	237	1678
124	238	1668
125	238	1657
126	239	1647
127	240	1636
128	241	1627
129	242	1621
130	242	1611
131	243	1601
132	244	1592
133	244	1582
134	245	1573
135	246	1563
136	247	1558
137	248	1551
138	249	1544
139	250	1536
140	250	1527
141	251	1519
142	252	1511
143	253	1508
144	254	1500
145	255	1492
146	255	1484
147	256	1477
148	257	1470
149	258	1463
150	259	1457
151	260	1450
152	260	1443
153	261	1436
154	262	1428
155	262	1421
156	263	1416
157	264	1409
158	265	1402
159	265	1395
160	266	1388
161	267	1381
162	267	1374
163	268	1368
164	269	1362
165	270	1358
166	271	1352
167	271	1345
168	272	1339
169	273	1333
170	273	1327
171	276	1330
172	277	1325
173	278	1319
174	278	1314
175	279	1308
176	281	1306
177	281	1301
178	282	1296
179	283	1291
180	284	1286
181	284	1280
182	285	1276
183	286	1271
184	288	1268
185	288	1263
186	289	1257
187	289	1252
188	290	1246
189	291	1241
190	291	1236
191	292	1231
192	293	1228
193	294	1223
194	294	1217
195	295	1212
196	296	1207
197	296	1202
198	297	1197
199	298	1193
200	298	1188
201	299	1183
202	300	1178
203	300	1174
204	301	1169
205	302	1164
206	303	1161
207	304	1158
208	305	1154
209	305	1150
210	306	1146
211	307	1141
212	307	1137
213	308	1133
214	309	1129
215	309	1125
216	311	1122
217	311	1117
218	312	1113
