iter	Passed	Remaining
0	113	113475
1	115	57544
2	117	39030
3	118	29571
4	119	23863
5	121	20117
6	123	17502
7	125	15503
8	126	13928
9	127	12630
10	129	11626
11	130	10732
12	131	10012
13	132	9354
14	134	8800
15	136	8366
16	137	7922
17	138	7558
18	140	7242
19	142	6968
20	144	6713
21	145	6450
22	146	6234
23	148	6038
24	149	5847
25	151	5668
26	152	5498
27	154	5371
28	155	5217
29	157	5095
30	158	4969
31	160	4842
32	161	4733
33	162	4612
34	163	4499
35	164	4398
36	165	4313
37	167	4232
38	168	4151
39	169	4076
40	171	4000
41	172	3937
42	173	3869
43	175	3811
44	176	3754
45	178	3699
46	179	3644
47	180	3587
48	181	3527
49	182	3473
50	184	3437
51	185	3387
52	186	3335
53	187	3287
54	188	3239
55	189	3193
56	190	3149
57	191	3106
58	192	3062
59	192	3021
60	193	2978
61	194	2936
62	194	2897
63	195	2858
64	196	2822
65	196	2786
66	197	2750
67	198	2715
68	198	2681
69	199	2648
70	199	2615
71	200	2584
72	201	2554
73	201	2526
74	202	2499
75	203	2473
76	204	2445
77	204	2418
78	205	2392
79	205	2367
80	206	2343
81	207	2318
82	207	2295
83	208	2271
84	209	2250
85	209	2228
86	210	2207
87	211	2186
88	211	2165
89	212	2144
90	212	2125
91	213	2105
92	213	2086
93	214	2067
94	215	2049
95	215	2031
96	216	2013
97	216	1996
98	217	1979
99	218	1963
100	218	1947
101	219	1930
102	219	1914
103	220	1898
104	221	1884
105	221	1869
106	222	1854
107	222	1839
108	223	1825
109	223	1810
110	224	1796
111	224	1782
112	225	1769
113	225	1756
114	226	1743
115	227	1730
116	227	1718
117	228	1706
118	228	1694
119	229	1682
120	229	1668
121	230	1657
122	230	1645
123	231	1634
124	231	1623
125	232	1612
126	232	1601
127	233	1591
128	234	1581
129	234	1571
130	235	1560
131	235	1550
132	236	1540
133	236	1530
134	237	1521
135	238	1513
136	238	1504
137	239	1495
138	240	1488
139	240	1480
140	241	1471
141	242	1463
142	242	1454
143	243	1446
144	243	1438
145	244	1429
146	245	1421
147	245	1413
148	246	1406
149	246	1399
150	247	1391
151	248	1384
152	248	1376
153	249	1369
154	249	1362
155	250	1355
156	250	1347
157	251	1340
158	252	1334
159	252	1327
160	253	1321
161	254	1314
162	254	1307
163	255	1301
164	255	1294
165	256	1288
166	257	1282
167	257	1275
168	258	1270
169	258	1264
170	259	1258
171	260	1252
172	260	1246
173	261	1240
174	261	1234
175	262	1229
176	263	1223
177	263	1218
178	264	1212
179	265	1207
180	265	1202
181	266	1196
182	266	1191
183	267	1186
184	268	1180
185	268	1175
186	269	1170
187	269	1164
188	270	1159
189	270	1155
190	271	1150
191	272	1145
192	272	1139
193	273	1134
194	273	1129
195	274	1124
196	274	1119
197	275	1114
198	275	1110
199	276	1105
200	277	1101
201	277	1096
202	278	1092
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	281	1064
209	281	1060
210	282	1056
211	283	1052
212	283	1048
213	284	1044
214	284	1040
215	285	1035
216	285	1031
217	286	1027
218	287	1023
219	287	1019
220	288	1015
221	288	1011
222	289	1007
223	289	1004
224	290	1000
225	290	996
226	291	992
227	292	989
228	292	985
229	293	981
230	293	978
231	294	974
232	294	970
233	295	966
234	296	963
235	296	960
236	297	956
237	297	952
238	298	949
239	298	945
240	299	942
241	299	938
242	300	935
243	300	932
244	301	929
245	302	926
246	303	923
247	303	920
248	304	917
249	304	914
250	305	911
251	305	908
252	306	904
253	307	901
254	307	898
255	308	895
256	308	893
257	309	889
258	309	886
259	310	884
